// Psy-Q SDK functions, written by tools/gen_sdk.py.
//
// These are linked in from Sony's libraries and must not be
// decompiled, so tools/progress.py leaves them out of the
// totals and reports them separately. Read the tool's
// docstring for how a function ends up here. A row that is
// wrong is game code being written off - fix it there.
//
// target  address   size  name
main     8001FD9C    152  SsUtSetReverbDepth
main     8001FE34     64  SsUtSetReverbDelay
main     8001FE74    432  SsUtSetVagAtr
main     80020024     24  UT_SVA_OBJ_1B0
main     8002003C    324  SpuVmAlloc
main     80020180      4  VMANAGER_OBJ_144
main     80020184     28  VMANAGER_OBJ_148
main     800201A0    260  VMANAGER_OBJ_164
main     800202A4    460  SpuVmKeyOnNow
main     80020470    112  VMANAGER_OBJ_434
main     800204E0    112  VMANAGER_OBJ_4A4
main     80020550     44  VMANAGER_OBJ_514
main     8002057C    304  VMANAGER_OBJ_540
main     800206AC    120  VMANAGER_OBJ_670
main     80020724    100  VMANAGER_OBJ_6E8
main     80020788    288  SpuVmDoAllocate
main     800208A8    244  VMANAGER_OBJ_86C
main     8002099C    400  vmNoiseOn
main     80020B2C    112  VMANAGER_OBJ_AF0
main     80020B9C    112  VMANAGER_OBJ_B60
main     80020C0C     40  VMANAGER_OBJ_BD0
main     80020C34    144  VMANAGER_OBJ_BF8
main     80020CC4    392  VMANAGER_OBJ_C88
main     80020E4C     32  VMANAGER_OBJ_E10
main     80020E6C    108  vmNoiseOn2
main     80020ED8    304  VMANAGER_OBJ_E9C
main     80021008    176  note2pitch
main     800210B8      8  VMANAGER_OBJ_107C
main     800210C0    244  note2pitch2
main     800211B4      8  VMANAGER_OBJ_1178
main     800211BC    332  SePitchBend
main     80021308     88  VMANAGER_OBJ_12CC
main     80021360      8  SsUtVibrateOn
main     80021368      8  SsUtVibrateOff
main     80021370    304  SeAutoVol
main     800214A0    120  VMANAGER_OBJ_1464
main     80021518      8  VMANAGER_OBJ_14DC
main     80021520    272  SetAutoVol
main     80021630    272  VMANAGER_OBJ_15F4
main     80021740     88  VMANAGER_OBJ_1704
main     80021798     88  VMANAGER_OBJ_175C
main     800217F0     52  VMANAGER_OBJ_17B4
main     80021824     76  VMANAGER_OBJ_17E8
main     80021870    304  SeAutoPan
main     800219A0    120  VMANAGER_OBJ_1964
main     80021A18      8  VMANAGER_OBJ_19DC
main     80021A20    272  SetAutoPan
main     80021B30    272  VMANAGER_OBJ_1AF4
main     80021C40     88  VMANAGER_OBJ_1C04
main     80021C98     76  VMANAGER_OBJ_1C5C
main     80021CE4     52  VMANAGER_OBJ_1CA8
